File,ID,English,Vietnamese
GameTextCharacter,28600,"Boy",""
GameTextCharacter,28500,"no data.",""
GameTextCharacter,28565,"???",""
GameTextCharacter,28566,"Everyone",""
GameTextCharacter,116414,"Tavernkeep",""
GameTextCharacter,28592,"Boy",""
GameTextCharacter,28567,"Bargello's Gang",""
GameTextCharacter,28568,"Bargello",""
GameTextCharacter,28569,"Tiziano",""
GameTextCharacter,28570,"Pierro Della",""
GameTextCharacter,28571,"Fra",""
GameTextCharacter,28572,"Lady Herminia",""
GameTextCharacter,28573,"Lady-in-Waiting",""
GameTextCharacter,28574,"Sonia",""
GameTextCharacter,28575,"Lord Taviani",""
GameTextCharacter,28577,"Crippled Elder",""
GameTextCharacter,28578,"Blackrobe",""
GameTextCharacter,28579,"???",""
GameTextCharacter,28580,"Captain Tristan",""
GameTextCharacter,28583,"Flower Girl",""
GameTextCharacter,28584,"Herminia the Huntress",""
GameTextCharacter,28588,"Rosso",""
GameTextCharacter,28589,"Tomazzo",""
GameTextCharacter,28590,"Gastone",""
GameTextCharacter,28988,"???",""
GameTextCharacter,28989,"Commander Tytos",""
GameTextCharacter,28991,"Servant",""
GameTextCharacter,28994,"Velnorte",""
GameTextCharacter,28995,"Jurgen",""
GameTextCharacter,28996,"Rinyuu",""
GameTextCharacter,28997,"Priest",""
GameTextCharacter,28998,"Phina",""
GameTextCharacter,29000,"Abnormal Ruffian",""
GameTextCharacter,29005,"Al the Servant",""
GameTextCharacter,29006,"Knight Ardante",""
GameTextCharacter,29009,"Bishop",""
GameTextCharacter,29014,"Dmitri the Hunter",""
GameTextCharacter,116284,"Innkeeper",""
GameTextCharacter,116285,"Scarlet Wing",""
GameTextCharacter,116288,"Tytos the Thunderblade",""
GameTextCharacter,116362,"Tavernkeep",""
GameTextCharacter,116366,"Tytos of the Knights Ardante",""
GameTextCharacter,116367,"Pontiff",""
GameTextCharacter,116368,"King of Edoras",""
GameTextCharacter,116369,"King of Hornburg",""
GameTextCharacter,28963,"Actress",""
GameTextCharacter,28965,"""Jana""",""
GameTextCharacter,28966,"""Françoise""",""
GameTextCharacter,28967,"""Anna""",""
GameTextCharacter,28970,"""Rafael""",""
GameTextCharacter,28971,"Francesca the Actress",""
GameTextCharacter,28972,"""Margretta""",""
GameTextCharacter,28973,"Auguste the Playwright",""
GameTextCharacter,28974,"Schwartz",""
GameTextCharacter,28975,"Mikhail",""
GameTextCharacter,28976,"Maid",""
GameTextCharacter,28977,"Master Dorteau",""
GameTextCharacter,28978,"Simeon the Poet",""
GameTextCharacter,116359,"""Auguste""",""
GameTextCharacter,116386,"""Schwartz""",""
GameTextCharacter,116387,"Auguste the Prince of Thieves",""
GameTextCharacter,118110,"""Child""",""
GameTextCharacter,116289,"General Mahrez",""
GameTextCharacter,116290,"Princess Elrica",""
GameTextCharacter,116291,"Princess Alaune",""
GameTextCharacter,116292,"Queen Alaune",""
GameTextCharacter,116293,"Commander Krauser",""
GameTextCharacter,116294,"General Krauser",""
GameTextCharacter,116295,"King Solon",""
GameTextCharacter,116296,"Lebrandt the Attendant",""
GameTextCharacter,116297,"El the Swordsman",""
GameTextCharacter,116298,"Charles the Traveler",""
GameTextCharacter,116299,"Mendoza the Attendant",""
GameTextCharacter,116300,"Captain Barnes",""
GameTextCharacter,116301,"King of Riven",""
GameTextCharacter,116302,"Prime Minister Raum",""
GameTextCharacter,116303,"Master Helgenish",""
GameTextCharacter,116304,"Primrose the Dancer",""
GameTextCharacter,116305,"Trompeur the Merchant",""
GameTextCharacter,116306,"Chief Kanzas",""
GameTextCharacter,116307,"Mesara the Thief",""
GameTextCharacter,116308,"M'suhi the Viper",""
GameTextCharacter,116309,"Gimel the Brigand Leader",""
GameTextCharacter,116310,"Cerro the Emissary",""
GameTextCharacter,116311,"Gonzalez the Ironarm",""
